Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.7499139061302,27.1853327204051,26.5681893451605,25.4925222245396,24.599254436897,23.5100609074235,21.3540798828848,19.5843800536482,19.6922769882201,19.1121035364139,18.4099923154801,18.5861391981332,19.9439738307083,20.7914830663638,19.7430723247274
China,CHN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,1262664161019.72,1656411658782.57,2008852448487.47,2175092012376.37,2355594737798.11,2462902030661.11,2360152452309.1,2197922469129.55,2429277356205.39,2651009602168.9,2630999236934.95,2738897986700.98,3555231478040.17,3719319844279.64,3511247752096.65
China,CHN,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,..,..,..,..,..,..,2362097053274.6,..,..,..,..,..,..,..,..
China,CHN,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,8625784152200,11203599089300,12963687105300,13729761433500,14586453355400,15130207785600,14709933416200,14617684515100,16384682363200,17569396117800,18161737293300,18838297390100,22920352226700,25047997660500,24887763070600
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1262664161017.28,1654823329663.86,2006308960976.47,2175069254663.85,2354264539609.2,2462825804851.16,2362097053274.6,2199974853570.14,2424216052098.35,2655609176087.45,2628941104657.6,2729884575163.89,3554107780957.44,3717887818646.97,3513236885527.07
China,CHN,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1370915037313.72,1798836133342.28,2153120036894.13,2342129055768.52,2539567897419.11,2702274321141.03,2583968396725.28,2424576042121.24,2718975576076.02,2919505938716.79,2904513533412.15,2984400475536.29,3882547012607.56,3989644346998.2,3751236397087.4
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.4005193743564,22.4009332487945,24.5404113195713,24.534430661418,25.430861300519,22.9679630081172,19.8131891564045,19.1582349105946,18.7917648392982,19.9278285988562,18.664264897257,18.6824769296756,21.3991583305515,23.2004878372097,21.8482115022381
India,IND,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-4.83422535304113,19.4781354584922,15.492981450677,6.80548879791374,7.79238923851599,1.77759073335379,-5.64708727457766,4.98425762114994,4.56470776307569,11.9318707467613,-3.38497816237084,-6.95623827861731,29.5992945020295,13.3987737282373,2.63025277103407
India,IND,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,260847157421.868,348035371769.33,446375404070.601,443845180758.278,468273426431.433,485583046457.597,428630903175.949,430433487927.696,489400913160.193,537042432147.227,546033120468,484690629550.363,643079815639.228,767643055702.076,773177224117.866
India,IND,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,273200800550.47,326415222555.376,376986672438.066,402642458200.466,434017925782.976,441732988212.788,416787940847.812,437561725553.553,457535139608.144,512127641087.202,494792232272.935,460373305611.94,596640556148.747,676583074238.014,694378919296.507
India,IND,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,15536986009000,18563301190000,21439310000000,22898359840400,24682689168400,25121446363800,23702816363000,24884225794000,26020117980600,29124804826200,28138936543000,26181525068000,33931071778000,38477419309100,39489472696700
India,IND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,12987800000000,17101930000000,21439310000000,24397070000000,28567813002200,28636362781800,27286474220000,29487721065300,32115205714400,37662935333900,37521878246200,37092369060100,50496446729600,62524493099900,64530149607500
India,IND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,273752124889.211,375353514026.267,447384417625.093,448400477361.254,472180271340.149,468345815420.933,416787940847.812,439642578076.358,498258808231.521,538635186135.438,529245063167.215,499728529072.629,677769255428.552,778021514754.531,779446235323.272
India,IND,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,274579963326.257,357996440571.598,456522683721.069,453744167574.111,479503178064.073,498219673269.87,443164297038.465,445918512250.488,507948171892.783,558423279580.479,569380732947.818,507289199021.317,666791748668.23,794821399183.285,811089762317.846
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.9322190593537,12.3413554322086,13.5634637825829,13.6440512687054,13.5534918818154,13.5082142132235,12.4111486301271,11.8881592273253,12.177481026766,12.2871107596266,11.7891974097286,10.0736556273372,10.7909781995156,11.6022279170372,11.0115112856601
United States,USA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-8.31253383219415,12.6490020513446,7.17815837924702,4.01817076638014,3.0103437393211,3.90232256058883,0.319626118375922,0.474057163681138,4.11438082446341,2.85408623851669,0.533784287152343,-13.1278965473257,6.47679129199751,7.51271951060437,2.76432490274424
United States,USA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,1592788000000,1872324000000,2143556000000,2247453000000,2313124000000,2392613000000,2280786000000,2240824000000,2394477000000,2542459000000,2546280000000,2160145000000,2570800000000,3039403000000,3071813000000
